new_id,batch,sex,dobday,dobmon,dobyear,fathermonin,sscins,sscboard,sscsub,sscgrade,ssctotal,sscyear,data,hscboard,hscsub,hscgrade,hsctotal,hscyear
62,20170,male,24,8,1998,25000,GOVT. SCIENCE COLLEGE ATTACHED HIGH SCHOOL,DHAKA,SCIENCE,A,4.25,2014,GOVT. SCIENCE COLLEGE ATTACHED HIGH SCHOOL,DHAKA,SCIENCE,A,4.33,2016
63,20100,female,17,8,1990,25000/-,KHAILKUR BADSHAH MIAH,DHAKA,SCIENCE,A+,5,2007,KHAILKUR BADSHAH MIAH,DHAKA,SCIENCE,A,4.6,2009
64,20142,male,1,5,1995,100000/-,KURIGRAM GOVT. HIGH SCHOOL,DINAJPUR,SCIENCE,,4.38,2010,KURIGRAM GOVT. HIGH SCHOOL,DINAJPUR,SCIENCE,,4.4,2012
65,20140,female,11,9,1995,,CANTONMENT BOARD HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2010,CANTONMENT BOARD HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2012
66,20091,female,1,1,1949,25000/-,,,,,,,,,,,,
67,20161,male,13,11,1997,45000/-,DEWVOG HAZI UZIR ALI,DHAKA,SCIENCE,A,4.5,2012,DEWVOG HAZI UZIR ALI,DHAKA,SCIENCE,A-,3.7,2014
68,20130,female,28,3,1994,8000,GOVT.LABORATORY HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2009,GOVT.LABORATORY HIGH SCHOOL,DHAKA,SCIENCE,A,4.3,2011
69,20171,male,18,5,1999,40000,"MOSHIPUR SHARISHAKOL FADIL MADRASAH, SIRAJGONJ",DHAKA,SCIENCE,,4.88,2014,"MOSHIPUR SHARISHAKOL FADIL MADRASAH, SIRAJGONJ",DHAKA,SCIENCE,,3.94,2016
70,20032,m,,,,,,,,,,,,,,,,
71,20131,male,1,1,1992,60000,ANANDA GOVT. HIGH SCHOOL,COMILLA,SCIENCE,A,4.63,2007,ANANDA GOVT. HIGH SCHOOL,COMILLA,SCIENCE,B,2.6,2012
72,20112,female,5,12,1993,28000,SAJEDA KABIR UDDIN POURAGIRLS SCHOOL,DHAKA,SCIENCE,,3.88,2008,SAJEDA KABIR UDDIN POURAGIRLS SCHOOL,DHAKA,SCIENCE,,3.1,2011
73,20152,male,5,11,1997,100000/-,D.S.M.S.H,DHAKA,SCIENCE,A,4.38,2013,D.S.M.S.H,DHAKA,SCIENCE,A,4.08,2015
74,20150,male,1,1,1949,300000/-,CHAPAIR B.B. HIGH SCHOOL,DHAKA,SCIENCE,,4.38,2012,CHAPAIR B.B. HIGH SCHOOL,DHAKA,SCIENCE,,5,2014
75,20160,female,26,1,1997,30000/-,ARAMKATI HAZI IBRAHIM,BARISAL,SCIENCE,A,4.69,2013,ARAMKATI HAZI IBRAHIM,DHAKA,SCIENCE,A,4.33,2015
76,20141,male,9,3,1994,100000/-,JAMALPUR ZILLA SCHOOL,DHAKA,SCIENCE,A,4.94,2010,JAMALPUR ZILLA SCHOOL,DHAKA,SCIENCE,A,4.4,2012
77,20021,m,,,,,,,,,,,,,,,,
78,20170,male,27,3,1997,,GHORACHARA HIGH SCHOOL,RAJSHAHI,SCIENCE,5,A+,2014,GHORACHARA HIGH SCHOOL,RAJSHAHI,SCIENCE,4,A,2016
79,20170,male,20,7,1995,30000/-,KANAKDIA SS HIGH SCHOOL,BARISAL,SCIENCE,A,4.13,2011,KANAKDIA SS HIGH SCHOOL,DHAKA,SCIENCE,A-,3.6,2014
80,20140,male,25,12,1994,15000,B. A. R. I. HIGH SCHOOL,DHAKA,SCIENCE,A,4.19,2011,B. A. R. I. HIGH SCHOOL,DHAKA,SCIENCE,A-,3.9,2013
81,20151,male,25,10,1996,60000/-,HAZRANIA BI-LATERAL HIGH SCHOOL,DINAJPUR,SCIENCE,A,4,2012,HAZRANIA BI-LATERAL HIGH SCHOOL,DINAJPUR,SCIENCE,B,3.3,2014
82,20090,male,15,7,1989,200000/-,KATGORA HIGH SCHOOL,DHAKA,SCIENCE,,3.75,2005,KATGORA HIGH SCHOOL,DHAKA,SCIENCE,,3,2008
83,20140,male,22,7,1996,130000,NAOGAON ZILLA SCHOOL,RAJSHAHI,SCIENCE,A+,5,2011,NAOGAON ZILLA SCHOOL,RAJSHAHI,SCIENCE,A,4.1,2013
84,20142,male,8,7,1997,,KAMARER CHAR K. HIGH SCHOOL,DHAKA,SCIENCE,A-,3.75,2012,KAMARER CHAR K. HIGH SCHOOL,DHAKA,SCIENCE,B,3.3,2014
85,20141,male,19,5,1996,40000/-,ADAMJEE CANT. PUBLIC  SCHOOL,DHAKA,SCIENCE,A,4.88,2011,ADAMJEE CANT. PUBLIC  SCHOOL,DHAKA,SCIENCE,A,4.5,2013
86,20121,male,1,1,1995,50000/-,ABDUR ROB SECONDARY SCHOOL,BARISAL,SCIENCE,A,4.75,2009,ABDUR ROB SECONDARY SCHOOL,BARISAL,SCIENCE,A-,3.9,2011
87,20151,male,12,5,1997,50000/-,ANNADA GOVT. HIGH SCHOOL,COMILLA,SCIENCE,A+,5,2012,ANNADA GOVT. HIGH SCHOOL,COMILLA,SCIENCE,A,4.7,2014
88,20121,male,28,2,1988,30000,NOWABBEKI SECONDARY SCHOOL,JESSORE,SCIENCE,B,3.06,2005,NOWABBEKI SECONDARY SCHOOL,TECNICAL,CSE,B,3.06,2009
89,20160,male,11,5,1995,30000/-,BANANI BIDYANIKETAN,DHAKA,SCIENCE,A,4.56,2012,BANANI BIDYANIKETAN,DHAKA,SCIENCE,A+,5,2014
90,20171,male,16,12,1995,42000,GOVT. SCIENCE COLLEGE ATTACHED HIGH SCHOOL,DHAKA,SCIENCE,A,4.56,2012,GOVT. SCIENCE COLLEGE ATTACHED HIGH SCHOOL,DHAKA,SCIENCE,A-,3.5,2015
91,20142,male,24,7,1996,150000/-,A.K. HIGH SCHOOL,DHAKA,SCIENCE,A,4.69,2011,A.K. HIGH SCHOOL,DHAKA,SCIENCE,,3.2,2014
92,20170,female,2,2,1997,50000/=,GULSHAN MODEL SCHOOL & COLLEGE,DHAKA,SCIENCE,4.44,A,2013,GULSHAN MODEL SCHOOL & COLLEGE,DHAKA,SCIENCE,3.5,A-,2016
93,20110,female,29,10,1992,50000/-,BAF SHAHEEN,DHAKA,SCIENCE,,4.88,2007,BAF SHAHEEN,DHAKA,SCIENCE,,4.5,2009
94,20171,male,9,11,1996,25000,IBRAHIMPUR SALAHUDDIN SHIKHYALAYA,DHAKA,SCIENCE,A,4.63,2013,IBRAHIMPUR SALAHUDDIN SHIKHYALAYA,DHAKA,SCIENCE,A,4.25,2016
95,20022,m,,,,,,,,,,,,,,,,
96,20171,male,10,6,1997,40000,JAMALPUR ZILLA SCHOOL,DHAKA,SCIENCE,5,A+,2013,JAMALPUR ZILLA SCHOOL,DHAKA,SCIENCE,5,A+,2015
97,20170,male,1,6,1998,25000/=,KHILBAISA G.F.U HIGH SCHOOL,COMILLA,SCIENCE,5,A+,2013,KHILBAISA G.F.U HIGH SCHOOL,COMILLA,SCIENCE,4.67,A,2015
98,20170,male,30,6,1999,30000,DIGHULIA SHAHID MIZANUR RAHMAN HIGH SCHOOL,DHAKA,SCIENCE,A,5,2014,DIGHULIA SHAHID MIZANUR RAHMAN HIGH SCHOOL,DHAKA,SCIENCE,A,5,2016
99,20100,male,3,12,1990,25000/-,SHAHEED RAMIJUDDIN HIGH SCHOOL,DHAKA,SCIENCE,,4.13,2005,SHAHEED RAMIJUDDIN HIGH SCHOOL,DHAKA,SCIENCE,,3.3,2008
100,20152,male,3,2,1995,40000/-,SHERE BANGLA GOVT. BOYS HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2010,SHERE BANGLA GOVT. BOYS HIGH SCHOOL,DHAKA,SCIENCE,A,4,2012
101,20022,male,1,1,1949,,,,,,,,,,,,,
102,20152,male,3,5,1997,50000/-,EMARAT HOSSAIN ADARSHA HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2012,EMARAT HOSSAIN ADARSHA HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2014
103,20151,male,19,12,1995,10000/-,GALACHIPA SECONDARY,BARISAL,SCIENCE,A+,5,2011,GALACHIPA SECONDARY,BARISAL,SCIENCE,B,3.2,2014
104,20151,male,10,9,1997,35000/-,HAZI NOWAB ALI PILOT HIGH SCHOOL,COMILLA,SCIENCE,,4.13,2012,HAZI NOWAB ALI PILOT HIGH SCHOOL,DHAKA,SCIENCE,,5,2014
105,20111,male,1,1,1989,35000/-,DUDMUKHA HIGH SCHOOL,COMILLA,SCIENCE,A-,3.56,2006,DUDMUKHA HIGH SCHOOL,BTEB,SCIENCE,B,3.06,2010
106,20170,male,1,6,1997,35000/-,K.B.H.M.M SCHOOL,JESSORE,SCIENCE,A+,5,2012,K.B.H.M.M SCHOOL,JESSORE,SCIENCE,A,4.3,2015
107,20160,male,20,6,1997,30000/-,BOGRA JUBILEE INS.,RAJSHAHI,SCIENCE,A,4.63,2013,BOGRA JUBILEE INS.,DHAKA,SCIENCE,A-,3.75,2015
108,20160,male,25,9,1996,30000/-,BAF SHAHEEN COLLEGE,DHAKA,SCIENCE,,4.31,2013,BAF SHAHEEN COLLEGE,DHAKA,SCIENCE,,4.75,2015
109,20150,male,12,12,1996,15000/-,BHATPARA N.C. GUPTA HIGH SCHOOL,DHAKA,SCIENCE,A-,3.8,2012,BHATPARA N.C. GUPTA HIGH SCHOOL,DHAKA,SCIENCE,A,4.4,2014
110,20170,male,17,7,1998,,ARMED POLICE BATTALION HIGH SCHOOL,DHAKA,SCIENCE,5,A+,2013,ARMED POLICE BATTALION HIGH SCHOOL,DHAKA,SCIENCE,4.08,A,2015
111,20162,male,1,2,1998,130000,UTTARA HIGH SCHOOL,DHAKA,SCIENCE,4.88,5,2013,UTTARA HIGH SCHOOL,DHAKA,SCIENCE,3.83,5,2015
112,20161,male,11,11,1996,25000/-,BHATY KHAWER CHAR HIGH SCHOOL,DHAKA,SCIENCE,A,4.06,2012,BHATY KHAWER CHAR HIGH SCHOOL,DHAKA,SCIENCE,A,4,2014
113,20150,male,20,10,1996,15000/-,SHAHZADPUR PILOT HIGH SCHOOL,RAJSHAHI,SCIENCE,A+,5,2012,SHAHZADPUR PILOT HIGH SCHOOL,DHAKA,SCIENCE,A,4.9,2014
114,20151,male,30,9,1997,50000/-,MUNSEFPUR SECONDARY SCHOOL,JESSORE,SCIENCE,,2.75,2012,MUNSEFPUR SECONDARY SCHOOL,JESSORE,SCIENCE,,2.8,2014
115,20142,male,10,7,1994,,CHANDANA HIGH SCHOOL,DHAKA,SCIENCE,B,3.38,2009,CHANDANA HIGH SCHOOL,BTEB,CMT,A-,3.66,2013
116,20160,female,14,4,1996,30000/-,LAKSAM PILOT GIRLS HIGH SCHOOL,COMILLA,SCIENCE,A,4.88,2012,LAKSAM PILOT GIRLS HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2014
117,20092,male,5,6,1991,20000/-,ROHANPUR A.B. GOVT. HIGH SCHOOL,RAJSHAHI,SCIENCE,,4.44,2006,ROHANPUR A.B. GOVT. HIGH SCHOOL,DHAKA,SCIENCE,,2.5,2009
118,20151,female,3,10,1996,20000/-,K.L JUBILEE SCHOOL AND COLLEGE,DHAKA,SCIENCE,A,4.63,2012,K.L JUBILEE SCHOOL AND COLLEGE,DHAKA,SCIENCE,A,4,2014
119,20110,male,18,8,1993,30000/-,PAKUNDIA PILOT H. SCHOOL,DHAKA,SCIENCE,,5,2008,PAKUNDIA PILOT H. SCHOOL,DHAKA,SCIENCE,,3.8,2010
120,20041,m,,,,,,,,,,,,,,,,
121,20150,female,1,10,1996,50000/-,CHOPINAGAR HIGH SCHOOL,RAJSHAHI,SCIENCE,A+,5,2011,CHOPINAGAR HIGH SCHOOL,RAJSHAHI,SCIENCE,A,4.8,2013
122,20161,male,14,11,1995,18000/-,TAMIRUL MILLAT KAMIL MADRASHA,MADRASHA,SCIENCE,A+,5,2013,TAMIRUL MILLAT KAMIL MADRASHA,MADRASHA,SCIENCE,A,4.63,2015
123,20111,male,1,11,1993,20000/-,BAGMARA HIGH SCHOOL,COMILLA,SCIENCE,A,4.13,2008,BAGMARA HIGH SCHOOL,COMILLA,SCIENCE,B,3.9,2010
124,20160,male,22,5,1998,15000/-,SARISHABARI REAZ UDDIN TALUKDER HIGH SCHOOL,DHAKA,SCIENCE,A,4.75,2013,SARISHABARI REAZ UDDIN TALUKDER HIGH SCHOOL,DHAKA,SCIENCE,A,4.67,2015
125,20170,male,1,1,1998,50000/-,AL FARUK ACADEMY,DINAJPUR,SCIENCE,A+,5,2014,AL FARUK ACADEMY,DINAJPUR,SCIENCE,A,4.33,2016
126,20111,male,8,6,1987,15000/-,DIGHOLIA MA MAZID SEC. SCHOOL,JESSORE,SCIENCE,A-,3.69,2004,DIGHOLIA MA MAZID SEC. SCHOOL,BTEB,SCIENCE,B+,3.28,2010
127,20150,male,31,12,1996,25000/-,ANNADA GOVT. HIGH SCHOOL,COMILLA,SCIENCE,A,4.81,2012,ANNADA GOVT. HIGH SCHOOL,COMILLA,SCIENCE,A+,5,2014
128,20140,male,16,12,1994,35000,SOLMAID HIGH SCHOOL,DHAKA,SCIENCE,A,4.75,2011,SOLMAID HIGH SCHOOL,DHAKA,SCIENCE,A,4.2,2013
129,20152,male,26,11,1997,50000/-,NATUN JURIAN K.M. MAINUDDIN HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2012,NATUN JURIAN K.M. MAINUDDIN HIGH SCHOOL,DHAKA,SCIENCE,A,5,2014
130,20152,male,10,6,1994,18000/-,G. NAZIR UDDIN PILOT  GOVT. HIGH SCHOOL,DHAKA,SCIENCE,A,4.38,2009,G. NAZIR UDDIN PILOT  GOVT. HIGH SCHOOL,DHAKA,SCIENCE,B,3.2,2013
131,20160,male,23,1,1997,50000/-,KACHUA GOVT. PILOT HIGH SCHOOL,COMILLA,SCIENCE,A,4.88,2012,KACHUA GOVT. PILOT HIGH SCHOOL,COMILLA,SCIENCE,A,4.4,2014
132,20131,male,28,12,1993,35000,MOHAMMADPUR MODEL SCHOOL,DHAKA,SCIENCE,A,4.06,2009,MOHAMMADPUR MODEL SCHOOL,DHAKA,SCIENCE,A-,3.7,2011
133,20032,m,,,,,,,,,,,,,,,,
134,20150,male,3,4,1995,18000/-,MOLLARTED UDAYAN BIDHALAY,DHAKA,SCIENCE,A+,5,2010,MOLLARTED UDAYAN BIDHALAY,DHAKA,SCIENCE,A,4.2,2013
135,20080,male,1,2,1989,25000/-,ARUAIL HIGH SCHOOL,COMILLA,SCIENCE,,3.56,2004,ARUAIL HIGH SCHOOL,COMILLA,SCIENCE,,3.5,2006
136,20170,female,5,10,1997,60000/-,BCD HIGH SCHOOL,BARISAL,SCIENCE,A,4.38,2013,BCD HIGH SCHOOL,BARISAL,SCIENCE,A,4.58,2015
137,20161,male,3,12,1996,20000/-,POLLI UNNAYAN ACADEMY,RAJSHAHI,SCIENCE,A+,5,2013,POLLI UNNAYAN ACADEMY,DHAKA,SCIENCE,A,4.67,2015
138,20031,m,,,,,,,,,,,,,,,,
139,20160,female,10,11,1997,50000/-,SAICHAPARA HIGH SCHOOL,COMILLA,SCIENCE,A,4.69,2013,SAICHAPARA HIGH SCHOOL,COMILLA,SCIENCE,A,4.08,2015
140,20122,female,1,6,1993,20000,BOGRA GOVT. GIRLS HIGH SCHOOL,RAJSHAHI,SCIENCE,A +,5,2008,BOGRA GOVT. GIRLS HIGH SCHOOL,RAJSHAHI,SCIENCE,A,4.1,2011
141,20130,male,17,8,1994,20000,SAFIUDDIN SARKER ACADEMY,DHAKA,SCIENCE,A,4.5,2010,SAFIUDDIN SARKER ACADEMY,DHAKA,SCIENCE,B,3.4,2012
142,20060,m,,,,,,,,,,,,,,,,
143,20142,female,8,11,1997,40000/-,DHAKA SHIKSHA BOARD LABORATORY SCHOOL,DHAKA,SCIENCE,A,4.75,2012,DHAKA SHIKSHA BOARD LABORATORY SCHOOL,DHAKA,SCIENCE,A,4.5,2014
144,20092,male,4,8,1991,25000/-,GOVT. SCIENCE COLLEGE,DHAKA,SCIENCE,,3.63,2006,GOVT. SCIENCE COLLEGE,DHAKA,SCIENCE,,3.6,2009
